1S0,14,34,3.26896,-0.138,0.9,[#c2]
3S1,13,45,3.370778,0.418,-0.3,[#c9]
1P1,10,29,2.7295,-4.67 ,-157,[#c8]
3P2,8,18,2.8719,0.446,-1.9,[#c1]
3P1,8,22,2.8824,0.407,-1.3,[#c1]
3P0,8,15,2.8866,0.44,-1.9,[#c1]
1D2,20,50,2.3807,-39.41,-109E+01,[#c2]
3D3,20,45,2.63,-42.3,-18E+03,[#c9]
3D2,22,37,2.636,-1,-9.8E+03, [#c6]
3D1,20,32,2.658,3,-8.8E+03,[#c9]
1F3,10,25,0.089,-2.0,30,[#c8]
3F4,10,24,0.120,-2.4,120,[#c8]
3F3,10,24,0.120,-2.2,120,[#c8]
3F2,10,24,0.120,-2.2,120,[#c8]
